Age,Gender,CivilStatus,Nationality,Education,StayLength,Industry,Tenure,Role,Income,POS_Recog_1,POS_Recog_2,POS_Recog_3,POS_Recog_4,POS_Recog_5,POS_Sup_1,POS_Sup_2,POS_Sup_3,POS_Sup_4,POS_Sup_5,POS_Cond_1,POS_Cond_2,POS_Cond_3,POS_Cond_4,POS_Cond_5,POS_Fair_1,POS_Fair_2,POS_Fair_3,POS_Fair_4,POS_Fair_5,ES_Int_1,ES_Int_2,ES_Int_3,ES_Int_4,ES_Int_5,ES_Ext_1,ES_Ext_2,ES_Ext_3,ES_Ext_4,ES_Ext_5,POS_Total_Mean,ES_Total_Mean,POS_Group
30 - 34 years old,Male,Married,Chinese / China,Master's Degree,Less than 1 year,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,2,3,2,3,2,3,2,3,3,4,3,3,4,2,3,3,3,4,3,3,3,3,3,4,3,4,3,4,3,2.9,3.3,Low Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,3 - 4 years,Others (please specify),2 -3 years,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",5,4,5,4,4,4,4,4,5,4,3,3,2,4,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4.05,4.2,High Support
40 and above,Female,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Education,2 -3 years,Executive Level (Top level of Leadership),"$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Female,Single,Chinese / China,Bachelor's Degree,5 years and above,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,5,4,5,4,4,4,4,3,5,3,3.65,4.1,Moderate Support
40 and above,Female,Separated,Chinese / China,Master's Degree,1 - 2 years,Education,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",5,5,5,5,5,4,4,5,5,5,3,3,4,5,4,5,5,5,5,5,5,5,5,5,5,3,4,4,5,5,4.6,4.6,High Support
25 - 29 years old,Male,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Female,Married,Indonesia,Master's Degree,Less than 1 year,Hospitality / Tourism,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",3,4,3,4,4,3,3,4,5,5,3,3,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,3,4,3.8,4.1,Moderate Support
25 - 29 years old,Male,Single,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,2 -3 years,Executive Level (Top level of Leadership),"Below $2,000",4,4,3,4,5,4,4,4,4,5,4,4,4,4,5,3,4,4,4,4,4,5,5,4,4,4,3,4,4,4,4.05,4.1,High Support
40 and above,Male,Married,Korean / south korea,Bachelor's Degree,Less than 1 year,Education,4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",4,5,4,4,4,5,4,5,4,4,5,5,5,4,5,5,5,3,2,2,4,5,4,5,5,4,4,5,4,5,4.2,4.5,High Support
40 and above,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.15,4.0,High Support
30 - 34 years old,Male,Single,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,4,4,3,4,2,4,4,3,4,3,5,4,5,4,4,5,5,3,5,4,4,4,5,5,4,2,4,4,4.0,4.1,Moderate Support
25 - 29 years old,Female,Married,Indian / India,Bachelor's Degree,3 - 4 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.9,4.0,Moderate Support
30 - 34 years old,Female,Single,Chinese / China,Bachelor's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.85,4.0,Moderate Support
30 - 34 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,6 months to 1 year,Executive Level (Top level of Leadership),"Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,3,3,4,3,3,3.15,3.6,Low Support
30 - 34 years old,Female,Married,Indian / India,Bachelor's Degree,3 - 4 years,Hospitality / Tourism,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",3,5,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,3.8,3.5,Moderate Support
20 - 24 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,3,4,4,3,4,4,4,3,4,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3.5,3.5,Moderate Support
40 and above,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,1,4,4,3,3,4,4,4,3,5,5,5,5,1,3,5,5,5,5,4,5,5,4,4,3,3.7,4.5,Moderate Support
20 - 24 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,4,4,4,5,5,4,4,2,5,5,4,4,4,5,5,4,5,5,3,4,5,2,1,3,3,3.95,3.5,Moderate Support
35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",2,3,4,3,3,2,2,2,2,3,4,4,2,3,4,4,2,2,4,4,3,4,4,3,3,4,4,3,3,3,2.95,3.4,Low Support
35 - 39 years old,Female,Married,Brazilian/Brazil ,Master's Degree,1 - 2 years,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,4,3,2,4,3,2,3.7,3.2,Moderate Support
35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,2,3,3,3.25,3.3,Low Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,5,3,3,3,3,3,2,4,2,3,4,2,2,4,3,2,5,4,2,2,3,3,3,3,3,3,3,3,3,3.15,2.9,Low Support
30 - 34 years old,Female,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
40 and above,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4.0,3.9,Moderate Support
40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Education,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",4,4,3,3,4,4,5,4,4,5,4,4,3,5,5,4,4,4,4,5,4,4,5,5,4,4,3,4,5,4,4.1,4.2,High Support
40 and above,Male,Married,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,3,3,3,3,4,4,4,2,2,3,2,3,2,3,2,4,4,2,3,2,4,4,2,3,4,4,4,4,3,2.95,3.4,Low Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",3,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3.75,3.9,Moderate Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,2,1,1,1,1.15,1.7,Low Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,2,3,4,3,4.0,3.2,Moderate Support
35 - 39 years old,Male,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
40 and above,Male,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Education,6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Female,Single,Indian / India,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1.05,1.6,Low Support
25 - 29 years old,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Others (please specify),4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",5,5,5,5,5,4,3,4,4,5,5,3,3,5,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4.3,5.0,High Support
30 - 34 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Education,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3.0,3.6,Low Support
35 - 39 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",1,3,3,2,4,2,5,1,2,2,1,5,2,2,3,2,3,3,2,1,1,2,3,2,1,1,5,1,2,4,2.45,2.2,Low Support
35 - 39 years old,Female,Married,Chinese / China,Master's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.95,5.0,High Support
40 and above,Male,Married,Brazilian,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",1,4,3,4,2,4,3,4,5,3,2,1,3,4,4,4,2,2,5,3,4,4,4,5,2,2,3,3,2,1,3.15,3.0,Low Support
20 - 24 years old,Male,Single,Indian / India,Master's Degree,3 - 4 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
25 - 29 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.05,4.0,High Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
35 - 39 years old,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,4,4,4,4,4,5,4,3,4,4,4,5,4,3,4,4,4,3,4,5,4,3,4,4,3,3,4,4,3,3.9,3.7,Moderate Support
25 - 29 years old,Female,Married,Chinese / China,Bachelor's Degree,3 - 4 years,Business / Finance,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",5,4,3,4,5,4,4,4,4,4,4,4,3,3,3,5,3,3,3,3,5,4,4,5,4,3,3,3,3,3,3.75,3.7,Moderate Support
25 - 29 years old,Female,Married,Indonesia ,Master's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,5,5,3,4,4,4,4,5,4,5,4,5,4,5,4,4,5,3,2,4,4,4,4.2,3.9,High Support
40 and above,Female,Married,TAIWAN,Bachelor's Degree,1 - 2 years,Business / Finance,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Male,Single,Filipino / Philippines,Master's Degree,3 - 4 years,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4.0,3.9,Moderate Support
30 - 34 years old,Female,Married,Indian / India,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",2,4,1,3,2,1,4,4,2,1,1,4,3,5,5,2,2,1,1,4,5,5,5,5,4,1,5,2,1,2,2.6,3.5,Low Support
30 - 34 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Hospitality / Tourism,4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",4,4,4,4,4,4,3,3,3,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,3.65,3.7,Moderate Support
25 - 29 years old,Male,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Female,Single,Indian / India,Master's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
30 - 34 years old,Male,Single,Chinese / China,Master's Degree,3 - 4 years,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,3 - 4 years,Business / Finance,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3.8,4.1,Moderate Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",1,1,4,3,3,2,4,4,4,4,4,4,4,4,4,2,3,4,4,3,3,4,4,4,4,4,4,1,2,3,3.3,3.3,Low Support
40 and above,Female,Separated,Chinese / China,Master's Degree,1 - 2 years,Education,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.6,4.0,High Support
30 - 34 years old,Male,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",1,3,1,1,1,5,1,1,1,2,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1.55,1.2,Low Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3.25,3.5,Low Support
30 - 34 years old,Male,Single,Nepal,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
40 and above,Female,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Education,2 -3 years,Executive Level (Top level of Leadership),"$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3.8,4.0,Moderate Support
35 - 39 years old,Female,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.9,4.0,Moderate Support
25 - 29 years old,Female,Married,Nepalese ,Others (please specify),1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3.75,3.2,Moderate Support
30 - 34 years old,Female,Married,Indian / India,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,2,2,3,4,4,3,4,3.85,3.3,Moderate Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.15,3.8,High Support
35 - 39 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.05,3.0,Low Support
30 - 34 years old,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,4,4,4,4,4,4,4,3.85,3.3,Moderate Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,3 - 4 years,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,2,4,2,2,3,2,5,4,4,3,4,4,4,3,4,2,2,3,3,4,3,3,4,4,3,1,1,2,3,3.15,2.8,Low Support
25 - 29 years old,Male,Single,Chilean,Bachelor's Degree,3 - 4 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,2,3,4,3,3,3,3,4,3,3,4,4,3,3,3,2,2,1,1,3,1,1,3,3,2,3,2,3.05,2.0,Low Support
25 - 29 years old,Female,Married,Bhutan ,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,3,4,3,3,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3.5,3.5,Moderate Support
40 and above,Female,Married,Latinoamerican,Master's Degree,3 - 4 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4.0,3.9,Moderate Support
35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",4,1,1,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,3.75,5.0,Moderate Support
40 and above,Female,Married,Latinamerican ,Bachelor's Degree,3 - 4 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
40 and above,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Female,Single,Chinese / China,Bachelor's Degree,5 years and above,Hospitality / Tourism,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,4.9,4.8,High Support
40 and above,Female,Married,Chinese / China,Bachelor's Degree,5 years and above,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3.9,3.7,Moderate Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Female,Single,Nepali ,Bachelor's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Male,Single,Indian / India,Bachelor's Degree,3 - 4 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,3,4,2,4,4,4,3,4,3,4,3,3,4,3,4,4,4,3,3,4,3,3,4,3,3,3,3,3.55,3.2,Moderate Support
30 - 34 years old,Female,Married,Nepal,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,3,4,4,5,3,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4.2,4.6,High Support
40 and above,Male,Married,Bangladesh ,Master's Degree,5 years and above,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,5,4,4,4,4,5,5,5,5,5,4,5,5,4,4,5,5,5,4,4,4,4,4,4,5,5,5,5,4.55,4.4,High Support
25 - 29 years old,Male,Single,India,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3.15,3.1,Low Support
35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,3.85,3.7,Moderate Support
