Timestamp,Do you agree to participate in this Research?,Please select your age range.,Gender,Civil Status,Nationality/Country of Origin,Highest Educational Attainment,Length of Stay in New Zealand,Type of Job Industry,Tenure in Current Organization,Role / Position,Monthly Income (NZD),My employer ensures that my contributions in the company are appreciated and recognized.  ,I am highly valued by my supervisors; all my outputs are given high regard and appreciation. ,I am regularly rewarded when I meet work targets and deadlines on time. ,"I am confident that my inputs in the organization are as much appreciated as that of my colleagues, and this is what is encouraging me to keep delivering my best.",My employer is open and respectful of my ideas and guarantees that my inputs are meaningful to the improvement of the organization.,My supervisor is always accessible when I need assistance regarding work or performance. ,"I am heard when I communicate my concerns and suggestions, and they consider my contributions. ",I am motivated to deal with challenging work to improve my organizational skills and be open to various opportunities at work. ,I am encouraged to perform at my best when confronted with challenges in the workplace.,I am encouraged to join a professional development opportunity to expand my potential and organizational skills. ,I am provided with the adequate tools and resources to do my job effectively. ,I feel my workload is reasonable and manageable because of the assurance of quality working conditions. ,My workplace ensures that I work in a healthy environment that is free from toxicity and unnecessary distractions. ,I am encouraged to be independent and exercise autonomy in relation to my work tasks without much supervision. ,I enjoy working in a systematic and highly organized environment where I can work with ease and ensure goal attainment. ,I experience fair treatment in my workplace regardless of my background or my nationality.,I have experienced consistent enforcement of organizational policies on all employees.,I attest that the promotion and reward systems given to all employees are transparent and free of bias.,I witness how the organization promotes diversity and inclusion in the workplace all the time. ,I find that disputes are supposed to be resolved in a fair and impartial manner.,I am happy about how meaningful my work is.,I am capable of efficient application of my skills and knowledge in my work.,I also achieve self-improvement and maturity at work.,I am passionate and inspired in what I do.,I feel accomplished and gratified with my work.,I am satisfied with the compensation and benefits programs of the company. ,I feel secure at the job I hold.,I am offered the chance of promotion and career development.,I am satisfied that the demands of the work environment and time reflect my personal and professional requirements.,I think the organization rewards performance and effort adequately.,Do you meet all of the eligibility criteria to participate in this survey?,Column 42
1/6/2026 20:07:16,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Single,Chinese / China,Bachelor's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 20:08:25,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,6 months to 1 year,Executive Level (Top level of Leadership),"Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 20:08:40,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Indian / India,Bachelor's Degree,3 - 4 years,Hospitality / Tourism,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 20:09:29,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 20:10:37,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 20:13:38,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 20:16:36,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly disagree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 20:23:25,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 20:24:17,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Brazilian/Brazil ,Master's Degree,1 - 2 years,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 22:20:10,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 22:20:19,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 23:11:59,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 0:36:11,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 8:10:06,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 14:14:35,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Education,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 15:27:51,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 16:45:34,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 16:46:33,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 16:49:41,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:16:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/7/2026 17:17:17,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:17:38,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Education,6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:17:47,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Single,Indian / India,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:17:56,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Others (please specify),4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:18:05,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:18:15,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Education,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:18:18,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",Strongly Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Disagree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:18:30,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Chinese / China,Master's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:18:32,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Brazilian,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:18:48,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Male,Single,Indian / India,Master's Degree,3 - 4 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:19:16,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:19:32,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:19:43,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:19:45,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:19:49,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Chinese / China,Bachelor's Degree,3 - 4 years,Business / Finance,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:21:25,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Indonesia ,Master's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:21:52,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,TAIWAN,Bachelor's Degree,1 - 2 years,Business / Finance,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:27:34,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Single,Filipino / Philippines,Master's Degree,3 - 4 years,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:27:56,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Indian / India,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Disagree,Strongly disagree,Disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:28:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/7/2026 17:28:33,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Hospitality / Tourism,4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:28:33,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:28:50,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Indian / India,Master's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 17:29:06,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Single,Chinese / China,Master's Degree,3 - 4 years,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
